id,name,population,state,state_id
2136,Bryan,47192,Oklahoma,37
2137,Caddo,28977,Oklahoma,37
2138,Canadian,144447,Oklahoma,37
2139,Carter,48177,Oklahoma,37
2140,Cherokee,48675,Oklahoma,37
2141,Choctaw,14668,Oklahoma,37
2142,Cimarron,2153,Oklahoma,37
2143,Cleveland,281669,Oklahoma,37
2144,Coal,5520,Oklahoma,37
2145,Comanche,120422,Oklahoma,37
2146,Cotton,5776,Oklahoma,37
2147,Craig,14306,Oklahoma,37
2148,Creek,71604,Oklahoma,37
2149,Custer,29036,Oklahoma,37
2150,Delaware,42733,Oklahoma,37
2151,Dewey,4894,Oklahoma,37
2152,Ellis,3952,Oklahoma,37
2153,Garfield,60913,Oklahoma,37
2154,Garvin,27811,Oklahoma,37
2155,Grady,55551,Oklahoma,37
2156,Grant,4326,Oklahoma,37
2157,Greer,5821,Oklahoma,37
2158,Harmon,2664,Oklahoma,37
2159,Harper,3797,Oklahoma,37
2160,Haskell,12668,Oklahoma,37
2161,Hughes,13335,Oklahoma,37
2162,Jackson,24949,Oklahoma,37
2163,Jefferson,6123,Oklahoma,37
2164,Johnston,10949,Oklahoma,37
2165,Kay,44161,Oklahoma,37
2166,Kingfisher,15816,Oklahoma,37
2167,Kiowa,8729,Oklahoma,37
2168,Latimer,10231,Oklahoma,37
2169,Le Flore,49980,Oklahoma,37
2170,Lincoln,34920,Oklahoma,37
2171,Logan,47291,Oklahoma,37
2172,Love,10134,Oklahoma,37
2173,McClain,39985,Oklahoma,37
2174,McCurtain,32703,Oklahoma,37
2175,McIntosh,19815,Oklahoma,37
2176,Major,7644,Oklahoma,37
2177,Marshall,16806,Oklahoma,37
2178,Mayes,41107,Oklahoma,37
2179,Murray,13953,Oklahoma,37
2180,Muskogee,68362,Oklahoma,37
2181,Noble,11289,Oklahoma,37
2182,Nowata,10218,Oklahoma,37
2183,Okfuskee,12098,Oklahoma,37
2184,Oklahoma,792582,Oklahoma,37
2185,Okmulgee,38335,Oklahoma,37
2186,Osage,47014,Oklahoma,37
2187,Ottawa,31175,Oklahoma,37
2188,Pawnee,16390,Oklahoma,37
2189,Payne,82040,Oklahoma,37
2190,Pittsburg,43877,Oklahoma,37
2191,Pontotoc,38247,Oklahoma,37
2192,Pottawatomie,72679,Oklahoma,37
2193,Pushmataha,11179,Oklahoma,37
2194,Roger Mills,3656,Oklahoma,37
2195,Rogers,91984,Oklahoma,37
2196,Seminole,24578,Oklahoma,37
2197,Sequoyah,41179,Oklahoma,37
2198,Stephens,43265,Oklahoma,37
2199,Texas,20455,Oklahoma,37
2200,Tillman,7348,Oklahoma,37
2201,Tulsa,648360,Oklahoma,37
2202,Wagoner,80110,Oklahoma,37
2203,Washington,51843,Oklahoma,37
2204,Washita,11127,Oklahoma,37
2205,Woods,8897,Oklahoma,37
2206,Woodward,20222,Oklahoma,37
2207,Baker,16006,Oregon,38
2208,Benton,92101,Oregon,38
2209,Clackamas,416075,Oregon,38
2210,Clatsop,39764,Oregon,38
2211,Columbia,52377,Oregon,38
2212,Coos,64389,Oregon,38
2213,Crook,23867,Oregon,38
2214,Curry,22813,Oregon,38
2215,Deschutes,191996,Oregon,38
2216,Douglas,110283,Oregon,38
2217,Gilliam,1894,Oregon,38
2218,Grant,7176,Oregon,38
2219,Harney,7329,Oregon,38
2220,Hood River,23428,Oregon,38
2221,Jackson,219564,Oregon,38
2222,Jefferson,24192,Oregon,38
2223,Josephine,87393,Oregon,38
2224,Klamath,67653,Oregon,38
2225,Lake,7879,Oregon,38
2226,Lane,379611,Oregon,38
2227,Lincoln,49388,Oregon,38
2228,Linn,127335,Oregon,38
2229,Malheur,30725,Oregon,38
2230,Marion,346868,Oregon,38
2231,Morrow,11372,Oregon,38
2232,Multnomah,811880,Oregon,38
2233,Polk,85234,Oregon,38
2234,Sherman,1708,Oregon,38
2235,Tillamook,26787,Oregon,38
2236,Umatilla,77516,Oregon,38
2237,Union,26461,Oregon,38
2238,Wallowa,7081,Oregon,38
2239,Wasco,26505,Oregon,38
2240,Washington,597695,Oregon,38
2241,Wheeler,1366,Oregon,38
2242,Yamhill,107002,Oregon,38
2243,Adams,102811,Pennsylvania,39
2244,Allegheny,1218452,Pennsylvania,39
2245,Armstrong,65263,Pennsylvania,39
2246,Beaver,164742,Pennsylvania,39
2247,Bedford,48176,Pennsylvania,39
2248,Berks,420152,Pennsylvania,39
2249,Blair,122492,Pennsylvania,39
2250,Bradford,60833,Pennsylvania,39
2251,Bucks,628195,Pennsylvania,39
2252,Butler,187888,Pennsylvania,39
2253,Cambria,131730,Pennsylvania,39
2254,Cameron,4492,Pennsylvania,39
2255,Carbon,64227,Pennsylvania,39
2256,Centre,162805,Pennsylvania,39
2257,Chester,522046,Pennsylvania,39
2258,Clarion,38779,Pennsylvania,39
2259,Clearfield,79388,Pennsylvania,39
2260,Clinton,38684,Pennsylvania,39
2261,Columbia,65456,Pennsylvania,39
2262,Crawford,85063,Pennsylvania,39
2263,Cumberland,251423,Pennsylvania,39
2264,Dauphin,277097,Pennsylvania,39
2265,Delaware,564751,Pennsylvania,39
2266,Elk,30169,Pennsylvania,39
2267,Erie,272061,Pennsylvania,39
2268,Fayette,130441,Pennsylvania,39
2269,Forest,7279,Pennsylvania,39
2270,Franklin,154835,Pennsylvania,39
2271,Fulton,14523,Pennsylvania,39
2272,Greene,36506,Pennsylvania,39
2273,Huntingdon,45168,Pennsylvania,39
2274,Indiana,84501,Pennsylvania,39
2275,Jefferson,43641,Pennsylvania,39
2276,Juniata,24704,Pennsylvania,39
2277,Lackawanna,210793,Pennsylvania,39
2278,Lancaster,543557,Pennsylvania,39
2279,Lawrence,86184,Pennsylvania,39
2280,Lebanon,141314,Pennsylvania,39
2281,Lehigh,368100,Pennsylvania,39
2282,Luzerne,317646,Pennsylvania,39
2283,Lycoming,113664,Pennsylvania,39
2284,McKean,40968,Pennsylvania,39
2285,Mercer,110683,Pennsylvania,39
2286,Mifflin,46222,Pennsylvania,39
2287,Monroe,169507,Pennsylvania,39
2288,Montgomery,828604,Pennsylvania,39
2289,Montour,18240,Pennsylvania,39
2290,Northampton,304807,Pennsylvania,39
2291,Northumberland,91083,Pennsylvania,39
2292,Perry,46139,Pennsylvania,39
2293,Philadelphia,1584138,Pennsylvania,39
2294,Pike,55933,Pennsylvania,39
2295,Potter,16622,Pennsylvania,39
2296,Schuylkill,142067,Pennsylvania,39
2297,Snyder,40540,Pennsylvania,39
2298,Somerset,73952,Pennsylvania,39
2299,Sullivan,6071,Pennsylvania,39
2300,Susquehanna,40589,Pennsylvania,39
2301,Tioga,40763,Pennsylvania,39
2302,Union,44785,Pennsylvania,39
2303,Venango,51266,Pennsylvania,39
2304,Warren,39498,Pennsylvania,39
2305,Washington,207346,Pennsylvania,39
2306,Wayne,51276,Pennsylvania,39
2307,Westmoreland,350611,Pennsylvania,39
2308,Wyoming,27046,Pennsylvania,39
2309,York,448273,Pennsylvania,39
2310,Bristol,48649,Rhode Island,40
2311,Kent,163861,Rhode Island,40
2312,Newport,82542,Rhode Island,40
2313,Providence,636084,Rhode Island,40
2314,Washington,126179,Rhode Island,40
2315,Abbeville,24541,South Carolina,41
2316,Aiken,169401,South Carolina,41
2317,Allendale,8903,South Carolina,41
2318,Anderson,200482,South Carolina,41
2319,Bamberg,14275,South Carolina,41
2320,Barnwell,21112,South Carolina,41
2321,Beaufort,188715,South Carolina,41
2322,Berkeley,221091,South Carolina,41
2323,Calhoun,14520,South Carolina,41
2324,Charleston,405905,South Carolina,41
2325,Cherokee,57078,South Carolina,41
2326,Chester,32251,South Carolina,41
2327,Chesterfield,45754,South Carolina,41
2328,Clarendon,33700,South Carolina,41
2329,Colleton,37660,South Carolina,41
2330,Darlington,66802,South Carolina,41
2331,Dillon,30599,South Carolina,41
2332,Dorchester,160647,South Carolina,41
2333,Edgefield,27052,South Carolina,41
2334,Fairfield,22402,South Carolina,41
2335,Florence,138159,South Carolina,41
2336,Georgetown,62249,South Carolina,41
2337,Greenville,514213,South Carolina,41
2338,Greenwood,70741,South Carolina,41
2339,Hampton,19351,South Carolina,41
2340,Horry,344147,South Carolina,41
2341,Jasper,28971,South Carolina,41
2342,Kershaw,65592,South Carolina,41
2343,Lancaster,95380,South Carolina,41
2344,Laurens,66994,South Carolina,41
2345,Lee,17142,South Carolina,41
2346,Lexington,295032,South Carolina,41
2347,McCormick,9410,South Carolina,41
2348,Marion,31039,South Carolina,41
2349,Marlboro,26398,South Carolina,41
2350,Newberry,38520,South Carolina,41
2351,Oconee,78374,South Carolina,41
2352,Orangeburg,86934,South Carolina,41
2353,Pickens,124937,South Carolina,41
2354,Richland,414576,South Carolina,41
2355,Saluda,20544,South Carolina,41
2356,Spartanburg,313888,South Carolina,41
2357,Sumter,106512,South Carolina,41
2358,Union,27410,South Carolina,41
2359,Williamsburg,30606,South Carolina,41
2360,York,274118,South Carolina,41
2361,Aurora,2801,South Dakota,42
2362,Beadle,18883,South Dakota,42
2363,Bennett,3468,South Dakota,42
2364,Bon Homme,6980,South Dakota,42
2365,Brookings,35232,South Dakota,42
2366,Brown,39316,South Dakota,42
2367,Brule,5229,South Dakota,42
